사고년도,시도시군구명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도
2021,서울특별시 강동구1,서울특별시 강동구 천호동(광진교남단사거리 부근),7,7,1,2,2,2,127.1245703,37.54139295
2021,서울특별시 강동구2,서울특별시 강동구 천호동(광나루안내센터앞 부근),7,9,0,2,5,2,127.1201577,37.54679739
2021,서울특별시 강동구3,서울특별시 강동구 성내동(길동사거리 부근),7,7,0,2,5,0,127.1379848,37.53403573
2021,서울특별시 강동구4,서울특별시 강동구 둔촌동(둔촌동역앞교차로 부근),7,7,0,0,6,1,127.1372174,37.53048504
2021,서울특별시 강동구5,서울특별시 강동구 암사동(토끼굴입구교차로 부근),6,6,0,4,2,0,127.1240034,37.55507558
2021,서울특별시 강동구6,서울특별시 강동구 성내동(올림픽공원북2문앞교차로 부근),6,6,0,3,3,0,127.1270016,37.52439637
2021,서울특별시 강동구7,서울특별시 강동구 길동(마루빌딩 부근),5,5,0,2,3,0,127.140022,37.53774992
2021,서울특별시 강동구8,서울특별시 강동구 천호동(알프스 부근),4,4,1,1,2,0,127.1307325,37.54217778
2021,서울특별시 강동구9,서울특별시 강동구 성내동(강동구청역앞교차로 부근),4,4,0,2,2,0,127.1204277,37.53016327
2021,서울특별시 강동구10,서울특별시 강동구 암사동(제이빌더스입구 부근),4,4,0,2,2,0,127.1348312,37.55189173
2021,부산광역시 동래구1,부산광역시 동래구 명륜동(내성교차로 부근),6,6,0,2,3,1,129.0778143,35.20459974
2021,부산광역시 동래구2,부산광역시 동래구 명륜동(동래교차로 부근),4,4,0,3,0,1,129.0828614,35.2025463
2021,부산광역시 연제구1,부산광역시 연제구 거제동(소피아커피 부근),4,4,0,1,3,0,129.0800433,35.19232245
2021,부산광역시 사상구1,부산광역시 사상구 감전동(IBK기업은행사상디지털밸리지점 부근),3,3,1,1,0,1,128.9869963,35.15482289
2021,대구광역시 중구1,대구광역시 중구 동인동3가(중구북구 부근),5,5,0,3,2,0,128.6099259,35.87388197
2021,대구광역시 중구2,대구광역시 중구 덕산동(남산동303 부근),4,5,0,3,2,0,128.589728,35.86628642
2021,대구광역시 동구1,대구광역시 동구 효목동(불꽃교회 부근),6,6,0,3,3,0,128.6369726,35.88603441
2021,대구광역시 동구2,대구광역시 동구 방촌동(방촌시장교차로 부근),6,6,0,2,4,0,128.664243,35.8820873
2021,대구광역시 동구3,대구광역시 동구 율하동(율하역교차로 부근),5,6,0,2,4,0,128.6921641,35.87015051
2021,대구광역시 동구4,대구광역시 동구 동호동(동호동20919 부근),4,4,0,2,2,0,128.7137195,35.86413429
2021,대구광역시 서구1,대구광역시 서구 원대동3가(SC제일은행원대동지점 부근),7,7,0,4,2,1,128.5739078,35.88786806
2021,대구광역시 서구2,대구광역시 서구 내당동(대구은행삼익뉴타운지점 부근),6,6,0,2,3,1,128.5504344,35.86242613
2021,대구광역시 서구3,대구광역시 서구 비산동(대아씨푸드 부근),5,5,0,2,2,1,128.5655092,35.8886955
2021,대구광역시 서구4,대구광역시 서구 내당동(새길시장입구 부근),4,4,0,1,1,2,128.5715445,35.86341533
2021,대구광역시 서구5,대구광역시 서구 내당동(내당동12901 부근),4,4,0,0,4,0,128.5541468,35.85672276
