사고년도,지역,시도시군구명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도
2018,,서울특별시 양천구3,서울특별시 양천구 목동(파리공원 부근),5,5,0,1,2,2,126.8771405,37.53543003
2018,,서울특별시 양천구4,서울특별시 양천구 신정동(신정 야구장 부근),4,4,0,1,2,1,126.8778919,37.51562891
2018,,서울특별시 양천구5,서울특별시 양천구 신정동(희당한의원 부근),4,4,0,0,4,0,126.8765353,37.52230771
2018,,서울특별시 강서구1,서울특별시 강서구 화곡동(KT SIS강서점 부근),7,7,0,3,3,1,126.8480097,37.52988217
2018,,서울특별시 강서구2,서울특별시 강서구 방화동(수정교회 부근),6,7,1,2,2,2,126.8165854,37.57076562
2018,,서울특별시 강서구3,서울특별시 강서구 내발산동(발산역 부근),5,5,0,2,2,1,126.8389634,37.55854847
2018,,서울특별시 강서구4,서울특별시 강서구 화곡동(목동사거리 부근),5,5,0,1,3,1,126.8636859,37.53249379
2018,,서울특별시 구로구1,서울특별시 구로구 구로동(구로어린이공원 부근),8,8,0,3,4,1,126.8918462,37.49151829
2018,,서울특별시 구로구2,서울특별시 구로구 구로동(구로거리공원 부근),6,7,0,4,3,0,126.8896165,37.50183124
2018,,서울특별시 구로구3,서울특별시 구로구 구로동(스타벅스 구로디지털로점 부근),5,5,0,4,1,0,126.8967795,37.48640727
2018,,서울특별시 구로구4,서울특별시 구로구 구로동(구로구청.구의회사거리 부근),5,6,0,2,4,0,126.8891814,37.49523615
2018,,서울특별시 구로구5,서울특별시 구로구 구로동(장의원 부근),5,5,0,1,3,1,126.8897237,37.48837063
2018,,서울특별시 구로구6,서울특별시 구로구 개봉동(늘푸른한의원 부근),4,4,0,1,2,1,126.8561436,37.49267916
2018,,서울특별시 금천구1,서울특별시 금천구 독산동(홈플러스금천점 앞 부근),4,4,0,1,2,1,126.8978958,37.46890598
2018,,서울특별시 금천구2,서울특별시 금천구 시흥동(은행나무시장 부근),4,4,0,1,1,2,126.9086823,37.45077063
2018,,서울특별시 금천구3,서울특별시 금천구 시흥동(시흥사거리 부근),4,4,0,0,3,1,126.9007507,37.45491674
2018,,서울특별시 영등포구1,서울특별시 영등포구 당산동1가(양화한강공원출구 부근),7,10,0,3,5,2,126.9006701,37.53932675
2018,,서울특별시 영등포구2,서울특별시 영등포구 당산동4가(당서초교 앞 부근),7,7,0,0,4,3,126.8993398,37.5308414
